stock,company_name,market_cap,sector,industry,exchange,dividend_yield,roce,roe,last_updated
JSWSTEEL.NS,JSW STEEL LIMITED,233032,Basic Materials,Steel,NSE,0.26,0.0,0.0,2025-09-07 00:42:30
ZOMATO.NS,ZOMATO LIMITED,230062,Communication Services,Internet Content & Information,NSE,0.0,0.0,0.0,2025-09-07 19:49:34
HINDZINC.NS,HINDUSTAN ZINC LIMITED,227164,Basic Materials,Other Industrial Metals & Mining,NSE,6.59,0.0,0.0,2025-09-07 00:42:32
IOC.NS,INDIAN OIL CORPORATION LIMITED,225214,Energy,Oil & Gas Refining & Marketing,NSE,2.15,0.0,0.0,2025-09-07 00:42:32
BEL.NS,BHARAT ELECTRONICS LIMITED,217367,Industrials,Aerospace & Defense,NSE,0.65,0.0,0.0,2025-09-07 00:42:33
IRFC.NS,INDIAN RAILWAY FINANCE CORPORATION LIMITED,216223,Financial Services,Credit Services,NSE,1.86,0.0,0.0,2025-09-07 00:42:33
JIOFIN.NS,JIO FINANCIAL SERVICES LIMITED,211228,Financial Services,Asset Management,NSE,0.16,0.0,0.0,2025-09-07 00:42:34
DLF.NS,DLF LIMITED,208009,Real Estate,Real Estate - Development,NSE,0.79,0.0,0.0,2025-09-07 00:42:34
VBL.NS,VARUN BEVERAGES LIMITED,200953,Consumer Defensive,Beverages - Non-Alcoholic,NSE,0.43,0.0,0.0,2025-09-07 00:42:35
TATASTEEL.NS,TATA STEEL LIMITED,191786,Basic Materials,Steel,NSE,2.15,0.0,0.0,2025-09-07 00:42:35
VEDL.NS,VEDANTA LIMITED,179497,Basic Materials,Other Industrial Metals & Mining,NSE,11.56,0.0,0.0,2025-09-07 00:42:36
LTIM.NS,LTIMINDTREE LIMITED,176665,Technology,Information Technology Services,NSE,1.25,0.0,0.0,2025-09-07 00:42:36
GRASIM.NS,GRASIM INDUSTRIES LIMITED,176286,Basic Materials,Building Materials,NSE,0.36,0.0,0.0,2025-09-07 00:42:37
INDIGO.NS,INTERGLOBE AVIATION LIMITED,172150,Industrials,Airlines,NSE,0.18,0.0,0.0,2025-09-07 00:42:37
SBILIFE.NS,SBI LIFE INSURANCE COMPANY LIMITED,165572,Financial Services,Insurance - Life,NSE,0.15,0.0,0.0,2025-09-07 00:42:38
PFC.NS,POWER FINANCE CORPORATION LIMITED,164129,Financial Services,Credit Services,NSE,3.75,0.0,0.0,2025-09-07 00:42:39
ABB.NS,ABB INDIA LIMITED,163870,Industrials,Specialty Industrial Machinery,NSE,0.85,0.0,0.0,2025-09-07 00:42:39
TECHM.NS,TECH MAHINDRA LIMITED,159430,Technology,Information Technology Services,NSE,3.04,0.0,0.0,2025-09-07 00:42:40
PIDILITIND.NS,PIDILITE INDUSTRIES LIMITED,159360,Basic Materials,Specialty Chemicals,NSE,0.97,0.0,0.0,2025-09-07 00:42:40
HINDALCO.NS,HINDALCO INDUSTRIES LIMITED,152098,Basic Materials,Aluminum,NSE,0.67,0.0,0.0,2025-09-07 00:42:41
AMBUJACEM.NS,AMBUJA CEMENTS LIMITED,149176,Basic Materials,Building Materials,NSE,0.35,0.0,0.0,2025-09-07 00:42:41
HYUNDAI.NS,HYUNDAI MOTOR INDIA LIMITED,148173,Consumer Cyclical,Auto Manufacturers,NSE,0.83,0.0,0.0,2025-09-07 00:42:42
HDFCLIFE.NS,HDFC LIFE INSURANCE COMPANY LIMITED,147796,Financial Services,Insurance - Life,NSE,0.28,0.0,0.0,2025-09-07 00:42:42
RECLTD.NS,REC LIMITED,147647,Financial Services,Credit Services,NSE,2.84,0.0,0.0,2025-09-07 00:42:43
DIVISLAB.NS,DIVI'S LABORATORIES LIMITED,143765,Healthcare,Drug Manufacturers - Specialty & Generic,NSE,0.5,0.0,0.0,2025-09-07 00:42:43
GAIL.NS,GAIL (INDIA) LIMITED,142793,Utilities,Utilities - Regulated Gas,NSE,4.31,0.0,0.0,2025-09-07 00:42:43
BPCL.NS,BHARAT PETROLEUM CORPORATION LIMITED,139883,Energy,Oil & Gas Refining & Marketing,NSE,3.2,0.0,0.0,2025-09-07 00:42:44
TATAPOWER.NS,TATA POWER COMPANY LIMITED,138291,Utilities,Utilities - Independent Power Producers,NSE,0.58,0.0,0.0,2025-09-07 00:42:45
GODREJCP.NS,GODREJ CONSUMER PRODUCTS LIMITED,136698,Consumer Defensive,Household & Personal Products,NSE,1.62,0.0,0.0,2025-09-07 00:42:45
BRITANNIA.NS,BRITANNIA INDUSTRIES LIMITED,134835,Consumer Defensive,Packaged Foods,NSE,1.23,0.0,0.0,2025-09-07 00:42:45
EICHERMOT.NS,EICHER MOTORS LIMITED,132221,Consumer Cyclical,Auto Manufacturers,NSE,1.06,0.0,0.0,2025-09-07 00:42:46
MOTHERSON.NS,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,128989,Consumer Cyclical,Auto Parts,NSE,1.16,0.0,0.0,2025-09-07 00:42:46
LODHA.NS,MACROTECH DEVELOPERS LIMITED,128889,Real Estate,Real Estate - Development,NSE,0.36,0.0,0.0,2025-09-07 00:42:46
BANKBARODA.NS,BANK OF BARODA,128722,Financial Services,Banks - Regional,NSE,3.56,0.0,0.0,2025-09-07 00:42:47
CIPLA.NS,CIPLA LIMITED,125206,Healthcare,Drug Manufacturers - Specialty & Generic,NSE,0.84,0.0,0.0,2025-09-07 00:42:47
JSWENERGY.NS,JSW ENERGY LIMITED,122661,Utilities,Utilities - Independent Power Producers,NSE,0.4,0.0,0.0,2025-09-07 00:42:48
TVSMOTOR.NS,TVS MOTOR COMPANY LIMITED,122476,Consumer Cyclical,Auto Manufacturers,NSE,0.29,0.0,0.0,2025-09-07 00:42:49
PNB.NS,PUNJAB NATIONAL BANK,120716,Financial Services,Banks - Regional,NSE,2.8,0.0,0.0,2025-09-07 00:42:49
SHRIRAMFIN.NS,SHRIRAM FINANCE LIMITED,116731,Financial Services,Credit Services,NSE,2.18,0.0,0.0,2025-09-07 00:42:49
CHOLAFIN.NS,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,116509,Financial Services,Credit Services,NSE,0.13,0.0,0.0,2025-09-07 00:42:50
BAJAJHFL.NS,BAJAJ HOUSING FINANCE LIMITED,116264,Financial Services,Mortgage Finance,NSE,0.0,0.0,0.0,2025-09-07 00:42:50
SWIGGY.NS,SWIGGY LIMITED,114947,Consumer Cyclical,Internet Retail,NSE,0.0,0.0,0.0,2025-09-07 00:42:51
BAJAJHLDNG.NS,BAJAJ HOLDINGS & INVESTMENT LIMITED,114881,Financial Services,Asset Management,NSE,0.72,0.0,0.0,2025-09-07 00:42:51
NTPCGREEN.NS,NTPC GREEN ENERGY LIMITED,114744,Utilities,Utilities - Renewable,NSE,0.0,0.0,0.0,2025-09-07 00:42:52
HAVELLS.NS,HAVELLS INDIA LIMITED,113996,Industrials,Electrical Equipment & Parts,NSE,0.63,0.0,0.0,2025-09-07 00:42:52
ADANIENSOL.NS,ADANI ENERGY SOLUTIONS LIMITED,112812,Utilities,Utilities - Independent Power Producers,NSE,0.0,0.0,0.0,2025-09-07 00:42:52
CGPOWER.NS,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,112532,Industrials,Electrical Equipment & Parts,NSE,0.18,0.0,0.0,2025-09-07 00:42:53
TORNTPHARM.NS,TORRENT PHARMACEUTICALS LIMITED,111201,Healthcare,Drug Manufacturers - Specialty & Generic,NSE,0.89,0.0,0.0,2025-09-07 00:42:53
DRREDDY.NS,DR. REDDY'S LABORATORIES LIMITED,109964,Healthcare,Drug Manufacturers - Specialty & Generic,NSE,0.63,0.0,0.0,2025-09-07 00:42:54
IOB.NS,INDIAN OVERSEAS BANK,109387,Financial Services,Banks - Regional,NSE,0.0,0.0,0.0,2025-09-07 00:42:54
ZYDUSLIFE.NS,ZYDUS LIFESCIENCES LIMITED,108045,Healthcare,Drug Manufacturers - Specialty & Generic,NSE,1.08,0.0,0.0,2025-09-07 00:42:54
TATACONSUM.NS,TATA CONSUMER PRODUCTS LIMITED,107255,Consumer Defensive,Packaged Foods,NSE,0.77,0.0,0.0,2025-09-07 00:42:55
UNITDSPR.NS,UNITED SPIRITS LIMITED,106907,Consumer Defensive,Beverages - Wineries & Distilleries,NSE,0.91,0.0,0.0,2025-09-07 00:42:55
RVNL.NS,RAIL VIKAS NIGAM LIMITED,105722,Industrials,Engineering & Construction,NSE,0.52,0.0,0.0,2025-09-07 00:42:56
HEROMOTOCO.NS,HERO MOTOCORP LIMITED,104129,Consumer Cyclical,Auto Manufacturers,NSE,2.42,0.0,0.0,2025-09-07 00:42:56
DABUR.NS,DABUR INDIA LIMITED,103880,Consumer Defensive,Household & Personal Products,NSE,1.92,0.0,0.0,2025-09-07 00:42:56
ICICIPRULI.NS,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,102891,Financial Services,Insurance - Life,NSE,0.14,0.0,0.0,2025-09-07 00:42:57
BOSCHLTD.NS,BOSCH LIMITED,102722,Consumer Cyclical,Auto Parts,NSE,1.25,0.0,0.0,2025-09-07 00:42:57
POLYCAB.NS,POLYCAB INDIA LIMITED,102628,Industrials,Electrical Equipment & Parts,NSE,0.48,0.0,0.0,2025-09-07 00:42:58
INDUSTOWER.NS,INDUS TOWERS LIMITED,102602,Communication Services,Telecom Services,NSE,0.0,0.0,0.0,2025-09-07 00:42:58
CUMMINSIND.NS,CUMMINS INDIA LIMITED,101330,Industrials,Specialty Industrial Machinery,NSE,1.31,0.0,0.0,2025-09-07 00:42:58
NAUKRI.NS,INFO EDGE (INDIA) LIMITED,100123,Communication Services,Internet Content & Information,NSE,0.53,0.0,0.0,2025-09-07 00:42:59
INDHOTEL.NS,THE INDIAN HOTELS COMPANY LIMITED,99498,Consumer Cyclical,Lodging,NSE,0.29,0.0,0.0,2025-09-07 00:42:59
APOLLOHOSP.NS,APOLLO HOSPITALS ENTERPRISE LIMITED,98950,Healthcare,Medical Care Facilities,NSE,0.26,0.0,0.0,2025-09-07 00:42:59
MANKIND.NS,MANKIND PHARMA LIMITED,98828,Healthcare,Drug Manufacturers - Specialty & Generic,NSE,0.08,0.0,0.0,2025-09-07 00:43:00
OFSS.NS,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,98246,Technology,Software - Infrastructure,NSE,3.2,0.0,0.0,2025-09-07 00:43:00
INDUSINDBK.NS,INDUSIND BANK LIMITED,98242,Financial Services,Banks - Regional,NSE,1.92,0.0,0.0,2025-09-07 00:43:00
ICICIGI.NS,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,98215,Financial Services,Insurance - Diversified,NSE,0.68,0.0,0.0,2025-09-07 00:43:01
JINDALSTEL.NS,JINDAL STEEL & POWER LIMITED,98033,Basic Materials,Steel,NSE,0.19,0.0,0.0,2025-09-07 00:43:02
SOLARINDS.NS,SOLAR INDUSTRIES INDIA LIMITED,97204,Basic Materials,Specialty Chemicals,NSE,0.07,0.0,0.0,2025-09-07 00:43:02
CANBK.NS,CANARA BANK,96980,Financial Services,Banks - Regional,NSE,3.73,0.0,0.0,2025-09-07 19:47:14
LUPIN.NS,LUPIN LIMITED,95013,Healthcare,Drug Manufacturers - Specialty & Generic,NSE,0.62,0.0,0.0,2025-09-07 19:47:14
MAXHEALTH.NS,MAX HEALTHCARE INSTITUTE LIMITED,94531,Healthcare,Medical Care Facilities,NSE,0.13,0.0,0.0,2025-09-07 19:47:15
SUZLON.NS,SUZLON ENERGY LIMITED,94129,Industrials,Specialty Industrial Machinery,NSE,0.0,0.0,0.0,2025-09-07 19:47:15
BHEL.NS,BHARAT HEAVY ELECTRICALS LIMITED,94080,Industrials,Specialty Industrial Machinery,NSE,0.24,0.0,0.0,2025-09-07 19:49:35
UNIONBANK.NS,UNION BANK OF INDIA,94073,Financial Services,Banks - Regional,NSE,3.73,0.0,0.0,2025-09-07 19:49:35
SHREECEM.NS,SHREE CEMENT LIMITED,93488,Basic Materials,Building Materials,NSE,0.4,0.0,0.0,2025-09-07 19:49:36
IDBI.NS,IDBI BANK LIMITED,93457,Financial Services,Banks - Regional,NSE,2.36,0.0,0.0,2025-09-07 19:49:36
NHPC.NS,NHPC LIMITED,92214,Utilities,Utilities - Renewable,NSE,2.45,0.0,0.0,2025-09-07 19:49:37
HDFCAMC.NS,HDFC ASSET MANAGEMENT COMPANY LIMITED,92202,Financial Services,Asset Management,NSE,1.62,0.0,0.0,2025-09-07 19:49:37
MAZDOCK.NS,MAZAGON DOCK SHIPBUILDERS LIMITED,92187,Industrials,Aerospace & Defense,NSE,0.65,0.0,0.0,2025-09-07 19:49:38
OIL.NS,OIL INDIA LIMITED,89682,Energy,Oil & Gas Integrated,NSE,3.53,0.0,0.0,2025-09-07 19:49:38
COLPAL.NS,COLGATE PALMOLIVE (INDIA) LIMITED,87991,Consumer Defensive,Household & Personal Products,NSE,2.23,0.0,0.0,2025-09-07 19:49:39
ATGL.NS,ADANI TOTAL GAS LIMITED,86604,Utilities,Utilities - Regulated Gas,NSE,0.04,0.0,0.0,2025-09-07 19:49:39
DIXON.NS,DIXON TECHNOLOGIES (INDIA) LIMITED,85028,Technology,Consumer Electronics,NSE,0.04,0.0,0.0,2025-09-07 19:49:40
MARICO.NS,MARICO LIMITED,84663,Consumer Defensive,Household & Personal Products,NSE,1.44,0.0,0.0,2025-09-07 19:49:41
PERSISTENT.NS,PERSISTENT SYSTEMS LIMITED,83449,Technology,Information Technology Services,NSE,0.68,0.0,0.0,2025-09-07 19:49:41
HINDPETRO.NS,HINDUSTAN PETROLEUM CORPORATION LIMITED,83258,Energy,Oil & Gas Refining & Marketing,NSE,2.74,0.0,0.0,2025-09-07 19:49:42
WAAREEENER.NS,WAAREE ENERGIES LIMITED,83081,Technology,Solar,NSE,0.0,0.0,0.0,2025-09-07 19:49:42
GODREJPROP.NS,GODREJ PROPERTIES LIMITED,82782,Real Estate,Real Estate - Development,NSE,0.0,0.0,0.0,2025-09-07 19:49:43
TORNTPOWER.NS,TORRENT POWER LIMITED,81702,Utilities,Utilities - Independent Power Producers,NSE,1.5,0.0,0.0,2025-09-07 19:49:43
GMRAIRPORT.NS,GMR AIRPORTS LIMITED,81379,Industrials,Airports & Air Services,NSE,0.0,0.0,0.0,2025-09-07 19:49:44
AUROPHARMA.NS,AUROBINDO PHARMA LIMITED,81345,Healthcare,Drug Manufacturers - Specialty & Generic,NSE,0.38,0.0,0.0,2025-09-07 19:49:45
IDEA.NS,VODAFONE IDEA LIMITED,79644,Communication Services,Telecom Services,NSE,0.0,0.0,0.0,2025-09-07 19:49:45
POLICYBZR.NS,PB FINTECH LIMITED,78402,Financial Services,Insurance Brokers,NSE,0.0,0.0,0.0,2025-09-07 19:49:46
TIINDIA.NS,TUBE INVESTMENTS OF INDIA LIMITED,77694,Industrials,Conglomerates,NSE,0.12,0.0,0.0,2025-09-07 19:49:46
MUTHOOTFIN.NS,MUTHOOT FINANCE LIMITED,77332,Financial Services,Credit Services,NSE,0.92,0.0,0.0,2025-09-07 19:49:47
INDIANB.NS,INDIAN BANK,74131,Financial Services,Banks - Regional,NSE,2.45,0.0,0.0,2025-09-07 19:49:47
PRESTIGE.NS,PRESTIGE ESTATES PROJECTS LIMITED,73035,Real Estate,Real Estate - Diversified,NSE,0.12,0.0,0.0,2025-09-07 19:50:12
IRCTC.NS,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,71566,Industrials,Railroads,NSE,1.68,0.0,0.0,2025-09-07 19:50:12
SRF.NS,SRF LIMITED,70588,Industrials,Conglomerates,NSE,0.28,0.0,0.0,2025-09-07 19:50:13
YESBANK.NS,YES BANK LIMITED,70275,Financial Services,Banks - Regional,NSE,0.0,0.0,0.0,2025-09-07 19:50:13
GICRE.NS,GENERAL INSURANCE CORPORATION OF INDIA,69890,Financial Services,Insurance - Reinsurance,NSE,2.72,0.0,0.0,2025-09-07 19:50:14
BHARATFORG.NS,BHARAT FORGE LIMITED,69813,Consumer Cyclical,Auto Parts,NSE,0.75,0.0,0.0,2025-09-07 19:50:15
OBEROIRLTY.NS,OBEROI REALTY LIMITED,69196,Real Estate,Real Estate - Development,NSE,0.61,0.0,0.0,2025-09-07 19:50:16
SBICARD.NS,SBI CARDS AND PAYMENT SERVICES LIMITED,68909,Financial Services,Credit Services,NSE,0.32,0.0,0.0,2025-09-07 19:50:16
ASHOKLEY.NS,ASHOK LEYLAND LIMITED,68514,Industrials,Farm & Heavy Construction Machinery,NSE,2.39,0.0,0.0,2025-09-07 19:50:17
ALKEM.NS,ALKEM LABORATORIES LIMITED,68300,Healthcare,Drug Manufacturers - Specialty & Generic,NSE,0.3,0.0,0.0,2025-09-07 19:50:17
JSWINFRA.NS,JSW INFRASTRUCTURE LIMITED,67602,Industrials,Marine Shipping,NSE,0.27,0.0,0.0,2025-09-07 19:50:18
KALYANKJIL.NS,KALYAN JEWELLERS INDIA LIMITED,67439,Consumer Cyclical,Luxury Goods,NSE,0.3,0.0,0.0,2025-09-07 19:50:18
NMDC.NS,NMDC LIMITED,66766,Basic Materials,Steel,NSE,4.43,0.0,0.0,2025-09-07 19:50:19
BHARTIHEXA.NS,BHARTI HEXACOM LIMITED,65475,Communication Services,Telecom Services,NSE,0.57,0.0,0.0,2025-09-07 19:50:20
PIIND.NS,PI INDUSTRIES LIMITED,65121,Basic Materials,Agricultural Inputs,NSE,0.55,0.0,0.0,2025-09-07 19:50:20
SUPREMEIND.NS,SUPREME INDUSTRIES LIMITED,65089,Industrials,Building Products & Equipment,NSE,0.74,0.0,0.0,2025-09-07 19:50:21
LINDEINDIA.NS,LINDE INDIA LIMITED,64995,Basic Materials,Specialty Chemicals,NSE,0.07,0.0,0.0,2025-09-07 19:50:21
PATANJALI.NS,PATANJALI FOODS LIMITED,64261,Consumer Defensive,Packaged Foods,NSE,0.56,0.0,0.0,2025-09-07 19:50:22
BERGEPAINT.NS,BERGER PAINTS (I) LIMITED,62491,Basic Materials,Specialty Chemicals,NSE,0.71,0.0,0.0,2025-09-07 19:50:23
FACT.NS,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,61905,Basic Materials,Agricultural Inputs,NSE,0.04,0.0,0.0,2025-09-07 19:50:23
PHOENIXLTD.NS,THE PHOENIX MILLS LIMITED,61558,Real Estate,Real Estate - Diversified,NSE,0.16,0.0,0.0,2025-09-07 19:50:24
IREDA.NS,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,60900,Financial Services,Credit Services,NSE,0.0,0.0,0.0,2025-09-07 19:50:24
JSL.NS,JINDAL STAINLESS LIMITED,60400,Basic Materials,Steel,NSE,0.4,0.0,0.0,2025-09-07 19:50:25
UNOMINDA.NS,UNO MINDA LIMITED,60198,Consumer Cyclical,Auto Parts,NSE,0.17,0.0,0.0,2025-09-07 19:50:25
SCHAEFFLER.NS,SCHAEFFLER INDIA LIMITED,59667,Consumer Cyclical,Auto Parts,NSE,0.74,0.0,0.0,2025-09-07 19:50:26
UCOBANK.NS,UCO BANK,58265,Financial Services,Banks - Regional,NSE,1.36,0.0,0.0,2025-09-07 19:50:26
THERMAX.NS,THERMAX LIMITED,57752,Industrials,Conglomerates,NSE,0.43,0.0,0.0,2025-09-07 19:50:27
BALKRISIND.NS,BALKRISHNA INDUSTRIES LIMITED,57227,Consumer Cyclical,Auto Parts,NSE,0.69,0.0,0.0,2025-09-07 19:50:28
VOLTAS.NS,VOLTAS LIMITED,56044,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NSE,0.49,0.0,0.0,2025-09-07 19:50:28
MRF.NS,MRF LIMITED,55761,Consumer Cyclical,Auto Parts,NSE,0.29,0.0,0.0,2025-09-07 19:50:29
MPHASIS.NS,MPHASIS LIMITED,55461,Technology,Information Technology Services,NSE,2.04,0.0,0.0,2025-09-07 19:50:29
CONCOR.NS,CONTAINER CORPORATION OF INDIA LIMITED,55401,Industrials,Railroads,NSE,1.18,0.0,0.0,2025-09-07 19:50:30
ABCAPITAL.NS,ADITYA BIRLA CAPITAL LIMITED,55379,Financial Services,Financial Conglomerates,NSE,0.0,0.0,0.0,2025-09-07 19:50:30
LTTS.NS,L&T TECHNOLOGY SERVICES LIMITED,55346,Technology,Information Technology Services,NSE,1.33,0.0,0.0,2025-09-07 19:50:31
POWERINDIA.NS,HITACHI ENERGY INDIA LIMITED,54618,Industrials,Electrical Equipment & Parts,NSE,0.03,0.0,0.0,2025-09-07 19:50:32
SAIL.NS,STEEL AUTHORITY OF INDIA LIMITED,53781,Basic Materials,Steel,NSE,1.24,0.0,0.0,2025-09-07 19:50:32
TATACOMM.NS,TATA COMMUNICATIONS LIMITED,53345,Communication Services,Telecom Services,NSE,1.61,0.0,0.0,2025-09-07 19:50:33
NYKAA.NS,FSN E COMMERCE VENTURES LIMITED,53213,Consumer Cyclical,Internet Retail,NSE,0.0,0.0,0.0,2025-09-07 19:50:33
UBL.NS,UNITED BREWERIES LIMITED,53172,Consumer Defensive,Beverages - Brewers,NSE,0.55,0.0,0.0,2025-09-07 19:50:34
PGHH.NS,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,53043,Consumer Defensive,Household & Personal Products,NSE,0.96,0.0,0.0,2025-09-07 19:50:35
ASTRAL.NS,ASTRAL LIMITED,52139,Industrials,Building Products & Equipment,NSE,0.26,0.0,0.0,2025-09-07 19:50:35
IDFCFIRSTB.NS,IDFC FIRST BANK LIMITED,51999,Financial Services,Banks - Regional,NSE,0.34,0.0,0.0,2025-09-07 19:50:36
PETRONET.NS,PETRONET LNG LIMITED,51789,Energy,Oil & Gas Refining & Marketing,NSE,3.66,0.0,0.0,2025-09-07 19:50:36
BANKINDIA.NS,BANK OF INDIA,51334,Financial Services,Banks - Regional,NSE,3.6,0.0,0.0,2025-09-07 19:50:37
HUDCO.NS,HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED,51314,Financial Services,Credit Services,NSE,3.69,0.0,0.0,2025-09-07 19:50:38
PREMIERENE.NS,PREMIER ENERGIES LIMITED,50867,Technology,Solar,NSE,0.07,0.0,0.0,2025-09-07 19:50:39
