stock,total_score,raw_momentum_6m,raw_momentum_3m,raw_momentum_1m,volatility_adjusted_6m,volatility_adjusted_3m,volatility_adjusted_1m,relative_strength_6m,relative_strength_3m,relative_strength_1m,trend_score,volume_score,calculated_at
BRITANNIA,67.6323,29.5937,-3.7737,13.1288,23.675,-3.019,10.503,20.2897,27.0529,20.2897,13.5265,6.7632,2025-09-08 04:37:29.916765
DIVISLAB,15.0998,20.5312,-8.2362,4.3449,16.425,-6.589,3.4759,4.5299,6.0399,4.5299,3.02,1.51,2025-09-08 04:37:29.916778
EICHERMOT,11.0568,-0.1542,5.2284,-4.0733,-0.1234,4.1827,-3.2586,3.317,4.4227,3.317,2.2114,1.1057,2025-09-08 04:37:29.916792
GRASIM,73.2323,25.3846,12.5546,6.3522,20.3077,10.0437,5.0817,21.9697,29.2929,21.9697,14.6465,7.3232,2025-09-08 04:37:29.916809
HDFCLIFE,62.2044,-17.0977,19.9405,4.3602,-13.6781,15.9524,3.4881,18.6613,24.8818,18.6613,12.4409,6.2204,2025-09-08 04:37:29.916822
ICICIBANK,71.4631,13.3223,3.1024,12.7848,10.6579,2.4819,10.2279,21.4389,28.5852,21.4389,14.2926,7.1463,2025-09-08 04:37:29.916836
INDUSINDBK,76.8822,15.0776,19.4899,12.2777,12.0621,15.592,9.8222,23.0646,30.7529,23.0646,15.3764,7.6882,2025-09-08 04:37:29.916849
LTTS,48.7963,-0.7359,-3.2777,-0.7835,-0.5887,-2.6221,-0.6268,14.6389,19.5185,14.6389,9.7593,4.8796,2025-09-08 04:37:29.916867
MCDOWELL-N,7.1582,-16.5915,9.0239,0.4582,-13.2732,7.2191,0.3666,2.1475,2.8633,2.1475,1.4316,0.7158,2025-09-08 04:37:29.916880
PIDILITIND,98.7057,22.7836,1.8414,7.4044,18.2269,1.4731,5.9235,29.6117,39.4823,29.6117,19.7411,9.8706,2025-09-08 04:37:29.916893
SHREECEM,89.619,0.7928,22.0193,-7.1531,0.6342,17.6154,-5.7225,26.8857,35.8476,26.8857,17.9238,8.9619,2025-09-08 04:37:29.916907
TATACONSUM,19.0423,10.2123,11.2035,18.046,8.1699,8.9628,14.4368,5.7127,7.6169,5.7127,3.8085,1.9042,2025-09-08 04:37:29.916919
ZEEL,80.155,-11.1603,20.4822,-9.2434,-8.9283,16.3857,-7.3948,24.0465,32.062,24.0465,16.031,8.0155,2025-09-08 04:37:29.916932
ADANIGREEN,11.7575,-2.6382,18.3175,12.3062,-2.1106,14.654,9.8449,3.5273,4.703,3.5273,2.3515,1.1758,2025-09-08 04:37:29.916945
ADANITRANS,64.282,25.3221,-0.8282,0.6057,20.2576,-0.6626,0.4846,19.2846,25.7128,19.2846,12.8564,6.4282,2025-09-08 04:37:29.916958
APOLLOHOSP,41.6376,16.8736,-4.9203,9.5176,13.4989,-3.9363,7.6141,12.4913,16.655,12.4913,8.3275,4.1638,2025-09-08 04:37:29.916971
BAJAJFINSV,87.5518,-2.7458,-14.1746,14.3721,-2.1967,-11.3396,11.4977,26.2655,35.0207,26.2655,17.5104,8.7552,2025-09-08 04:37:29.916983
BAJAJHLDNG,49.1776,6.8478,0.4542,2.1636,5.4783,0.3633,1.7309,14.7533,19.671,14.7533,9.8355,4.9178,2025-09-08 04:37:29.916996
BERGEPAINT,18.1959,-4.9522,0.8788,4.3458,-3.9618,0.7031,3.4766,5.4588,7.2784,5.4588,3.6392,1.8196,2025-09-08 04:37:29.917009
BIOCON,5.1732,19.1666,10.2005,13.4267,15.3333,8.1604,10.7414,1.552,2.0693,1.552,1.0346,0.5173,2025-09-08 04:37:29.917022
BOSCHLTD,49.8232,17.2522,3.7314,6.2007,13.8018,2.9851,4.9605,14.9469,19.9293,14.9469,9.9646,4.9823,2025-09-08 04:37:29.917034
CADILAHC,15.2317,24.4981,11.3213,-6.6749,19.5985,9.0571,-5.3399,4.5695,6.0927,4.5695,3.0463,1.5232,2025-09-08 04:37:29.917048
COLPAL,6.1641,18.2993,-13.9868,-6.499,14.6394,-11.1895,-5.1992,1.8492,2.4656,1.8492,1.2328,0.6164,2025-09-08 04:37:29.917061
DABUR,9.538,10.1288,5.4425,-4.0232,8.103,4.354,-3.2186,2.8614,3.8152,2.8614,1.9076,0.9538,2025-09-08 04:37:29.917074
DMART,59.3257,-14.5215,7.9093,15.0545,-11.6172,6.3275,12.0436,17.7977,23.7303,17.7977,11.8651,5.9326,2025-09-08 04:37:29.917086
GAIL,54.5043,0.2522,12.9687,14.2775,0.2018,10.3749,11.422,16.3513,21.8017,16.3513,10.9009,5.4504,2025-09-08 04:37:29.917099
GODREJCP,57.8637,-11.1936,6.0455,-8.0768,-8.9549,4.8364,-6.4614,17.3591,23.1455,17.3591,11.5727,5.7864,2025-09-08 04:37:29.917112
HEROMOTOCO,35.9799,-19.6307,16.9724,12.1563,-15.7046,13.5779,9.725,10.794,14.392,10.794,7.196,3.598,2025-09-08 04:37:29.917125
HINDALCO,0.441,29.3235,-13.0917,-4.9322,23.4588,-10.4734,-3.9458,0.1323,0.1764,0.1323,0.0882,0.0441,2025-09-08 04:37:29.917137
HINDPETRO,26.9745,-10.1654,16.0745,-8.9062,-8.1323,12.8596,-7.125,8.0923,10.7898,8.0923,5.3949,2.6974,2025-09-08 04:37:29.917150
ICICIGI,1.3841,23.1722,24.8582,-7.5393,18.5378,19.8866,-6.0314,0.4152,0.5537,0.4152,0.2768,0.1384,2025-09-08 04:37:29.917164
ICICIPRULI,61.6334,14.1861,-4.9665,4.2094,11.3489,-3.9732,3.3675,18.49,24.6534,18.49,12.3267,6.1633,2025-09-08 04:37:29.917180
IGL,66.0742,18.532,-4.1554,-2.9696,14.8256,-3.3243,-2.3757,19.8223,26.4297,19.8223,13.2148,6.6074,2025-09-08 04:37:29.917193
INDIGO,70.9707,-17.2289,17.8472,-6.1892,-13.7831,14.2778,-4.9514,21.2912,28.3883,21.2912,14.1941,7.0971,2025-09-08 04:37:29.917211
JINDALSTEL,80.2276,7.1965,2.2156,12.081,5.7572,1.7725,9.6648,24.0683,32.091,24.0683,16.0455,8.0228,2025-09-08 04:37:29.917224
JUBLFOOD,58.4264,4.0563,6.4175,-3.5515,3.245,5.134,-2.8412,17.5279,23.3706,17.5279,11.6853,5.8426,2025-09-08 04:37:29.917240
LALPATHLAB,16.9248,16.1321,0.3634,17.8345,12.9057,0.2907,14.2676,5.0774,6.7699,5.0774,3.385,1.6925,2025-09-08 04:37:29.917255
LICHSGFIN,48.3284,-10.6923,12.1192,-0.6795,-8.5539,9.6954,-0.5436,14.4985,19.3313,14.4985,9.6657,4.8328,2025-09-08 04:37:29.917270
LUPIN,22.8393,-13.4261,4.4125,-2.9194,-10.7409,3.53,-2.3355,6.8518,9.1357,6.8518,4.5679,2.2839,2025-09-08 04:37:29.917283
MFSL,86.1195,25.2632,12.4508,-7.4584,20.2106,9.9607,-5.9668,25.8358,34.4478,25.8358,17.2239,8.6119,2025-09-08 04:37:29.917300
MINDTREE,20.2427,6.4172,2.7704,16.0532,5.1338,2.2163,12.8426,6.0728,8.0971,6.0728,4.0485,2.0243,2025-09-08 04:37:29.917317
MOTHERSON,65.1942,4.1248,0.7176,-4.4076,3.2998,0.5741,-3.5261,19.5582,26.0777,19.5582,13.0388,6.5194,2025-09-08 04:37:29.917333
MPHASIS,26.212,6.9311,1.4516,11.0589,5.5449,1.1613,8.8472,7.8636,10.4848,7.8636,5.2424,2.6212,2025-09-08 04:37:29.917346
MRF,52.2495,-10.914,-7.6149,-3.4738,-8.7312,-6.0919,-2.7791,15.6748,20.8998,15.6748,10.4499,5.2249,2025-09-08 04:37:29.917360
MUTHOOTFIN,69.1645,-8.6559,16.4906,4.3155,-6.9247,13.1925,3.4524,20.7494,27.6658,20.7494,13.8329,6.9165,2025-09-08 04:37:29.917373
NAUKRI,89.1878,21.1038,-13.6522,5.6732,16.883,-10.9217,4.5386,26.7564,35.6751,26.7564,17.8376,8.9188,2025-09-08 04:37:29.917387
NMDC,10.4867,23.0244,14.9807,-4.9717,18.4195,11.9846,-3.9774,3.146,4.1947,3.146,2.0973,1.0487,2025-09-08 04:37:29.917400
PAGEIND,31.5934,-6.9271,16.1045,-8.2447,-5.5417,12.8836,-6.5958,9.478,12.6373,9.478,6.3187,3.1593,2025-09-08 04:37:29.917414
PETRONET,96.951,8.2666,0.8601,12.3462,6.6133,0.6881,9.8769,29.0853,38.7804,29.0853,19.3902,9.6951,2025-09-08 04:37:29.917427
PNB,93.9706,25.5523,12.4388,2.478,20.4418,9.9511,1.9824,28.1912,37.5882,28.1912,18.7941,9.3971,2025-09-08 04:37:29.917441
PVR,93.2083,-14.0182,3.3446,-6.1168,-11.2146,2.6757,-4.8935,27.9625,37.2833,27.9625,18.6417,9.3208,2025-09-08 04:37:29.917455
RBLBANK,77.9045,9.8778,4.3531,-8.5499,7.9022,3.4825,-6.8399,23.3714,31.1618,23.3714,15.5809,7.7905,2025-09-08 04:37:29.917472
SAIL,56.2269,4.0508,6.4717,12.2842,3.2407,5.1774,9.8273,16.8681,22.4907,16.8681,11.2454,5.6227,2025-09-08 04:37:29.917488
SBILIFE,26.3603,-3.3061,13.6159,17.217,-2.6449,10.8927,13.7736,7.9081,10.5441,7.9081,5.2721,2.636,2025-09-08 04:37:29.917502
SIEMENS,70.5647,5.5229,0.6481,13.3667,4.4183,0.5185,10.6933,21.1694,28.2259,21.1694,14.1129,7.0565,2025-09-08 04:37:29.917515
SRF,18.092,16.992,8.3672,18.3462,13.5936,6.6937,14.677,5.4276,7.2368,5.4276,3.6184,1.8092,2025-09-08 04:37:29.917528
TATACHEM,41.7325,-13.6343,9.7692,-9.9454,-10.9074,7.8153,-7.9563,12.5198,16.693,12.5198,8.3465,4.1733,2025-09-08 04:37:29.917541
TATAPOWER,56.5031,24.1221,-6.8124,3.2464,19.2977,-5.4499,2.5971,16.9509,22.6012,16.9509,11.3006,5.6503,2025-09-08 04:37:29.917554
TORNTPHARM,44.741,4.1645,4.7783,0.9119,3.3316,3.8226,0.7295,13.4223,17.8964,13.4223,8.9482,4.4741,2025-09-08 04:37:29.917568
TVSMOTORS,74.9002,-4.5256,-14.4522,2.8531,-3.6205,-11.5618,2.2825,22.4701,29.9601,22.4701,14.98,7.49,2025-09-08 04:37:29.917581
UPL,65.1451,-19.1254,-9.5484,-3.4267,-15.3003,-7.6387,-2.7414,19.5435,26.0581,19.5435,13.029,6.5145,2025-09-08 04:37:29.917594
VEDL,86.306,11.4719,-5.7173,-7.6677,9.1775,-4.5739,-6.1342,25.8918,34.5224,25.8918,17.2612,8.6306,2025-09-08 04:37:29.917608
YESBANK,24.2738,1.4623,13.8123,6.3559,1.1699,11.0498,5.0847,7.2821,9.7095,7.2821,4.8548,2.4274,2025-09-08 04:37:29.917621
STOCK0096,84.0679,23.3416,-11.1955,1.9091,18.6733,-8.9564,1.5273,25.2204,33.6271,25.2204,16.8136,8.4068,2025-09-08 04:37:29.917635
STOCK0097,20.3972,28.1477,4.6462,6.4658,22.5182,3.717,5.1727,6.1191,8.1589,6.1191,4.0794,2.0397,2025-09-08 04:37:29.917648
STOCK0098,22.5508,-5.7037,-10.6368,3.5755,-4.563,-8.5094,2.8604,6.7653,9.0203,6.7653,4.5102,2.2551,2025-09-08 04:37:29.917661
STOCK0099,42.5662,-10.1651,18.9453,1.7019,-8.1321,15.1562,1.3615,12.7699,17.0265,12.7699,8.5132,4.2566,2025-09-08 04:37:29.917674
STOCK0100,49.8559,6.0816,12.3419,3.9686,4.8653,9.8735,3.1749,14.9568,19.9424,14.9568,9.9712,4.9856,2025-09-08 04:37:29.917687
STOCK0101,78.1592,25.1964,2.557,0.6103,20.1571,2.0456,0.4882,23.4478,31.2637,23.4478,15.6318,7.8159,2025-09-08 04:37:29.917701
STOCK0102,91.8144,11.2728,-1.9975,2.5931,9.0182,-1.598,2.0745,27.5443,36.7258,27.5443,18.3629,9.1814,2025-09-08 04:37:29.917714
STOCK0103,61.6962,17.1256,-5.5743,15.7072,13.7005,-4.4594,12.5658,18.5089,24.6785,18.5089,12.3392,6.1696,2025-09-08 04:37:29.917727
STOCK0104,94.0253,-1.0372,22.6847,9.4161,-0.8297,18.1478,7.5329,28.2076,37.6101,28.2076,18.8051,9.4025,2025-09-08 04:37:29.917740
STOCK0105,12.9837,18.9887,-0.3735,11.276,15.1909,-0.2988,9.0208,3.8951,5.1935,3.8951,2.5967,1.2984,2025-09-08 04:37:29.917753
STOCK0106,83.9699,-6.3238,-8.5031,-3.5736,-5.059,-6.8025,-2.8589,25.191,33.588,25.191,16.794,8.397,2025-09-08 04:37:29.917767
STOCK0107,71.8274,-6.6313,22.0478,11.5037,-5.3051,17.6382,9.203,21.5482,28.7309,21.5482,14.3655,7.1827,2025-09-08 04:37:29.917780
STOCK0108,18.5665,-1.8544,22.5593,14.9425,-1.4835,18.0474,11.954,5.5699,7.4266,5.5699,3.7133,1.8566,2025-09-08 04:37:29.917794
STOCK0109,68.1112,-4.7306,22.2259,2.6879,-3.7845,17.7807,2.1504,20.4333,27.2445,20.4333,13.6222,6.8111,2025-09-08 04:37:29.917806
STOCK0110,60.5973,22.8058,0.2079,-8.6378,18.2447,0.1664,-6.9102,18.1792,24.2389,18.1792,12.1195,6.0597,2025-09-08 04:37:29.917824
STOCK0111,97.2742,4.9367,6.4947,6.5612,3.9494,5.1958,5.2489,29.1823,38.9097,29.1823,19.4548,9.7274,2025-09-08 04:37:29.917837
STOCK0112,50.4273,15.9868,4.7681,1.278,12.7894,3.8145,1.0224,15.1282,20.1709,15.1282,10.0855,5.0427,2025-09-08 04:37:29.917851
STOCK0113,25.6947,-15.1813,6.5946,4.3857,-12.145,5.2757,3.5086,7.7084,10.2779,7.7084,5.1389,2.5695,2025-09-08 04:37:29.917864
STOCK0114,36.9247,3.0165,13.9221,17.3604,2.4132,11.1377,13.8883,11.0774,14.7699,11.0774,7.3849,3.6925,2025-09-08 04:37:29.917877
STOCK0115,92.8626,-1.5888,-12.4959,14.0955,-1.2711,-9.9967,11.2764,27.8588,37.145,27.8588,18.5725,9.2863,2025-09-08 04:37:29.917890
STOCK0116,2.1263,9.556,-10.664,8.5397,7.6448,-8.5312,6.8317,0.6379,0.8505,0.6379,0.4253,0.2126,2025-09-08 04:37:29.917904
STOCK0117,44.9364,-11.6246,-4.4095,15.0653,-9.2997,-3.5276,12.0522,13.4809,17.9746,13.4809,8.9873,4.4936,2025-09-08 04:37:29.917917
STOCK0118,52.1405,8.422,19.9158,3.1363,6.7376,15.9326,2.5091,15.6421,20.8562,15.6421,10.4281,5.214,2025-09-08 04:37:29.917930
STOCK0119,78.8001,5.0392,-10.4201,10.5522,4.0313,-8.3361,8.4417,23.64,31.52,23.64,15.76,7.88,2025-09-08 04:37:29.917944
STOCK0120,20.7243,21.2843,10.0217,-5.4558,17.0274,8.0173,-4.3646,6.2173,8.2897,6.2173,4.1449,2.0724,2025-09-08 04:37:29.917957
STOCK0121,57.3275,13.0683,20.1528,-3.4454,10.4547,16.1222,-2.7564,17.1982,22.931,17.1982,11.4655,5.7327,2025-09-08 04:37:29.917971
STOCK0122,39.7289,3.3266,5.9302,4.3995,2.6613,4.7442,3.5196,11.9187,15.8916,11.9187,7.9458,3.9729,2025-09-08 04:37:29.917984
STOCK0123,23.5036,-12.7737,-13.6192,5.707,-10.219,-10.8954,4.5656,7.0511,9.4015,7.0511,4.7007,2.3504,2025-09-08 04:37:29.918005
STOCK0124,26.2164,0.6597,-9.4535,18.963,0.5277,-7.5628,15.1704,7.8649,10.4866,7.8649,5.2433,2.6216,2025-09-08 04:37:29.918024
STOCK0125,32.59,-9.6377,2.0647,9.9988,-7.7102,1.6517,7.9991,9.777,13.036,9.777,6.518,3.259,2025-09-08 04:37:29.918040
STOCK0126,54.5737,-9.7188,17.9557,14.6166,-7.775,14.3646,11.6933,16.3721,21.8295,16.3721,10.9147,5.4574,2025-09-08 04:37:29.918057
STOCK0127,44.3462,4.3673,8.6356,-4.6636,3.4939,6.9085,-3.7309,13.3039,17.7385,13.3039,8.8692,4.4346,2025-09-08 04:37:29.918073
STOCK0128,21.1888,7.1645,16.3057,-9.5361,5.7316,13.0446,-7.6289,6.3566,8.4755,6.3566,4.2378,2.1189,2025-09-08 04:37:29.918086
STOCK0129,64.2005,24.2334,-7.1247,7.3573,19.3867,-5.6998,5.8859,19.2601,25.6802,19.2601,12.8401,6.42,2025-09-08 04:37:29.918099
STOCK0130,56.5345,19.2182,18.6671,18.7141,15.3746,14.9337,14.9713,16.9604,22.6138,16.9604,11.3069,5.6535,2025-09-08 04:37:29.918115
STOCK0131,64.5878,22.8764,-6.4618,-3.8426,18.3011,-5.1694,-3.0741,19.3763,25.8351,19.3763,12.9176,6.4588,2025-09-08 04:37:29.918129
STOCK0132,93.9379,-11.0552,21.6454,14.3361,-8.8441,17.3163,11.4689,28.1814,37.5752,28.1814,18.7876,9.3938,2025-09-08 04:37:29.918142
STOCK0133,16.9601,1.9801,22.3027,7.5373,1.5841,17.8421,6.0298,5.088,6.784,5.088,3.392,1.696,2025-09-08 04:37:29.918155
STOCK0134,46.0761,-11.1926,0.5176,15.165,-8.9541,0.414,12.132,13.8228,18.4305,13.8228,9.2152,4.6076,2025-09-08 04:37:29.918171
STOCK0135,70.5047,24.5054,-3.7359,10.3598,19.6043,-2.9887,8.2878,21.1514,28.2019,21.1514,14.1009,7.0505,2025-09-08 04:37:29.918188
STOCK0136,42.0717,-17.9736,17.3987,16.2505,-14.3789,13.9189,13.0004,12.6215,16.8287,12.6215,8.4143,4.2072,2025-09-08 04:37:29.918202
STOCK0137,56.0006,13.9816,20.5249,-4.4063,11.1853,16.4199,-3.5251,16.8002,22.4002,16.8002,11.2001,5.6001,2025-09-08 04:37:29.918215
STOCK0138,78.7362,19.1154,-9.2081,4.7338,15.2923,-7.3665,3.787,23.6209,31.4945,23.6209,15.7472,7.8736,2025-09-08 04:37:29.918229
STOCK0139,86.0885,22.7471,7.5756,-1.9089,18.1977,6.0605,-1.5271,25.8266,34.4354,25.8266,17.2177,8.6089,2025-09-08 04:37:29.918245
STOCK0140,55.5853,6.0415,-12.5405,6.7195,4.8332,-10.0324,5.3756,16.6756,22.2341,16.6756,11.1171,5.5585,2025-09-08 04:37:29.918258
STOCK0141,59.0114,2.4984,13.7798,4.3608,1.9987,11.0238,3.4887,17.7034,23.6046,17.7034,11.8023,5.9011,2025-09-08 04:37:29.918271
STOCK0142,34.3169,9.0544,10.8258,1.6682,7.2435,8.6607,1.3346,10.2951,13.7268,10.2951,6.8634,3.4317,2025-09-08 04:37:29.918284
STOCK0143,84.0547,29.6169,5.1968,6.445,23.6935,4.1574,5.156,25.2164,33.6219,25.2164,16.8109,8.4055,2025-09-08 04:37:29.918298
STOCK0144,56.813,9.2143,21.1153,17.5878,7.3714,16.8922,14.0702,17.0439,22.7252,17.0439,11.3626,5.6813,2025-09-08 04:37:29.918311
STOCK0145,51.0597,-10.7978,-1.4395,-5.6161,-8.6382,-1.1516,-4.4929,15.3179,20.4239,15.3179,10.2119,5.106,2025-09-08 04:37:29.918326
STOCK0146,71.3793,13.5143,15.2941,-6.5985,10.8114,12.2353,-5.2788,21.4138,28.5517,21.4138,14.2759,7.1379,2025-09-08 04:37:29.918342
STOCK0147,11.1321,24.8111,-13.3608,-6.8388,19.8489,-10.6887,-5.4711,3.3396,4.4528,3.3396,2.2264,1.1132,2025-09-08 04:37:29.918355
STOCK0148,16.1416,24.4808,-4.8354,18.6963,19.5846,-3.8683,14.9571,4.8425,6.4566,4.8425,3.2283,1.6142,2025-09-08 04:37:29.918368
STOCK0149,15.6182,8.4518,8.3077,2.3684,6.7614,6.6462,1.8948,4.6854,6.2473,4.6854,3.1236,1.5618,2025-09-08 04:37:29.918381
STOCK0150,81.6793,24.1161,-11.6204,15.3507,19.2929,-9.2963,12.2806,24.5038,32.6717,24.5038,16.3359,8.1679,2025-09-08 04:37:29.918396
STOCK0151,0.8769,-18.4627,19.7814,18.2425,-14.7702,15.8251,14.594,0.2631,0.3508,0.2631,0.1754,0.0877,2025-09-08 04:37:29.918410
STOCK0152,38.3978,13.1908,9.6686,-1.7885,10.5526,7.7349,-1.4308,11.5193,15.3591,11.5193,7.6796,3.8398,2025-09-08 04:37:29.918423
STOCK0153,64.6261,-4.9847,19.1093,7.4313,-3.9878,15.2874,5.9451,19.3878,25.8505,19.3878,12.9252,6.4626,2025-09-08 04:37:29.918436
STOCK0154,4.2001,9.5962,17.599,-6.7787,7.6769,14.0792,-5.423,1.26,1.68,1.26,0.84,0.42,2025-09-08 04:37:29.918450
STOCK0155,35.3789,-11.288,0.7562,17.4026,-9.0304,0.6049,13.9221,10.6137,14.1515,10.6137,7.0758,3.5379,2025-09-08 04:37:29.918463
STOCK0156,79.2576,-3.2122,-13.1163,4.8986,-2.5698,-10.4931,3.9189,23.7773,31.703,23.7773,15.8515,7.9258,2025-09-08 04:37:29.918480
STOCK0157,50.1979,10.0976,-6.8338,12.7604,8.0781,-5.467,10.2083,15.0594,20.0792,15.0594,10.0396,5.0198,2025-09-08 04:37:29.918496
STOCK0158,12.4344,-12.6259,10.4955,8.6759,-10.1007,8.3964,6.9407,3.7303,4.9738,3.7303,2.4869,1.2434,2025-09-08 04:37:29.918509
STOCK0159,79.0382,11.7584,-11.5567,16.9815,9.4067,-9.2454,13.5852,23.7115,31.6153,23.7115,15.8076,7.9038,2025-09-08 04:37:29.918522
STOCK0160,17.453,25.7916,-9.9269,13.5541,20.6333,-7.9415,10.8433,5.2359,6.9812,5.2359,3.4906,1.7453,2025-09-08 04:37:29.918535
STOCK0161,1.3889,26.0113,14.1574,7.5582,20.809,11.3259,6.0465,0.4167,0.5556,0.4167,0.2778,0.1389,2025-09-08 04:37:29.918548
STOCK0162,60.3508,7.0694,5.1852,-1.3509,5.6555,4.1481,-1.0807,18.1052,24.1403,18.1052,12.0702,6.0351,2025-09-08 04:37:29.918561
STOCK0163,29.9186,18.2771,20.9049,-7.9304,14.6217,16.7239,-6.3443,8.9756,11.9675,8.9756,5.9837,2.9919,2025-09-08 04:37:29.918573
