stock,company_name,market_cap,sector,industry,exchange,dividend_yield,roce,roe,last_updated
POWERGRID,POWERGRID Ltd,219333787687,Technology,Telecom Equipment,NSE,2.32,32.34,31.64,2025-09-08 04:37:22.865778
HCLTECH,HCLTECH Ltd,4726580683781,Media,Advertising,NSE,2.56,13.36,17.48,2025-09-08 04:37:22.865778
AXISBANK,AXISBANK Ltd,10625418061704,Agriculture,Pesticides,NSE,3.02,9.21,11.54,2025-09-08 04:37:22.865778
ONGC,ONGC Ltd,18891489321609,Consumer Goods,Apparel,NSE,3.36,38.44,30.41,2025-09-08 04:37:22.865778
NTPC,NTPC Ltd,13316316242613,Industrials,Construction,NSE,1.91,36.39,10.31,2025-09-08 04:37:22.865778
COALINDIA,COALINDIA Ltd,11615914745041,Technology,Software,NSE,0.97,38.86,12.07,2025-09-08 04:37:22.865778
M&M,M&M Ltd,5507952012870,Telecommunications,Cable TV,NSE,3.69,29.19,32.06,2025-09-08 04:37:22.865778
TATAMOTORS,TATAMOTORS Ltd,13403070654605,Consumer Discretionary,Retail,NSE,2.82,16.02,19.24,2025-09-08 04:37:22.865778
ADANIPORTS,ADANIPORTS Ltd,998384281456,Utilities,Water,NSE,1.72,13.43,35.92,2025-09-08 04:37:22.865778
JSWSTEEL,JSWSTEEL Ltd,12746510393687,Utilities,Gas Distribution,NSE,2.39,29.85,17.86,2025-09-08 04:37:22.865778
TATASTEEL,TATASTEEL Ltd,12968555415613,Healthcare,Biotechnology,NSE,3.52,26.89,29.92,2025-09-08 04:37:22.865778
DRREDDY,DRREDDY Ltd,3984657094086,Industrials,Automotive,NSE,3.56,40.84,35.75,2025-09-08 04:37:22.865778
CIPLA,CIPLA Ltd,17544028666867,Transportation,Shipping,NSE,1.26,20.76,26.34,2025-09-08 04:37:22.865778
BRITANNIA,BRITANNIA Ltd,9731101926463,Industrials,Construction,NSE,2.76,35.47,32.35,2025-09-08 04:37:22.865778
DIVISLAB,DIVISLAB Ltd,8818634997088,Healthcare,Diagnostics,NSE,3.13,35.65,35.36,2025-09-08 04:37:22.865778
EICHERMOT,EICHERMOT Ltd,17264646230557,Healthcare,Pharmaceuticals,NSE,1.83,42.47,10.69,2025-09-08 04:37:22.865778
GRASIM,GRASIM Ltd,4494972747793,Real Estate,Construction Materials,NSE,1.47,25.45,11.25,2025-09-08 04:37:22.865778
HDFCLIFE,HDFCLIFE Ltd,18659978734523,Transportation,Logistics,NSE,1.94,43.64,12.55,2025-09-08 04:37:22.865778
ICICIBANK,ICICIBANK Ltd,6865343000309,Utilities,Power Generation,NSE,2.67,28.37,9.03,2025-09-08 04:37:22.865778
INDUSINDBK,INDUSINDBK Ltd,2832992792025,Consumer Goods,FMCG,NSE,1.91,42.62,37.8,2025-09-08 04:37:22.865778
LTTS,LTTS Ltd,8023116789300,Media,Digital Media,NSE,1.09,38.04,37.29,2025-09-08 04:37:22.865778
MCDOWELL-N,MCDOWELL-N Ltd,5037633959133,Materials,Paints,NSE,3.83,23.39,11.02,2025-09-08 04:37:22.865778
PIDILITIND,PIDILITIND Ltd,18101590591431,Technology,Telecom Equipment,NSE,3.82,12.17,30.27,2025-09-08 04:37:22.865778
SHREECEM,SHREECEM Ltd,10933555082322,Materials,Cement,NSE,3.83,18.15,33.16,2025-09-08 04:37:22.865778
TATACONSUM,TATACONSUM Ltd,3765341277254,Telecommunications,Cable TV,NSE,3.42,9.38,8.04,2025-09-08 04:37:22.865778
ZEEL,ZEEL Ltd,16689118040280,Utilities,Power Distribution,NSE,3.94,26.61,29.73,2025-09-08 04:37:22.865778
ADANIGREEN,ADANIGREEN Ltd,865231895305,Energy,Petrochemicals,NSE,2.43,40.64,23.59,2025-09-08 04:37:22.865778
ADANITRANS,ADANITRANS Ltd,710753517052,Real Estate,Construction Materials,NSE,3.03,11.61,22.48,2025-09-08 04:37:22.865778
APOLLOHOSP,APOLLOHOSP Ltd,14735182857915,Utilities,Power Distribution,NSE,0.89,43.31,25.7,2025-09-08 04:37:22.865778
BAJAJFINSV,BAJAJFINSV Ltd,10002652696909,Consumer Goods,Footwear,NSE,0.93,22.13,14.42,2025-09-08 04:37:22.865778
BAJAJHLDNG,BAJAJHLDNG Ltd,10147531967317,Consumer Goods,Apparel,NSE,1.54,23.06,29.38,2025-09-08 04:37:22.865778
BERGEPAINT,BERGEPAINT Ltd,2838575486219,Telecommunications,Cable TV,NSE,0.7,14.03,10.0,2025-09-08 04:37:22.865778
BIOCON,BIOCON Ltd,18450339949370,Consumer Discretionary,Jewelry,NSE,0.94,13.28,31.51,2025-09-08 04:37:22.865778
BOSCHLTD,BOSCHLTD Ltd,10984694302546,Consumer Goods,Personal Care,NSE,0.74,11.67,36.1,2025-09-08 04:37:22.865778
CADILAHC,CADILAHC Ltd,14107895347026,Industrials,Machinery,NSE,2.54,27.07,39.05,2025-09-08 04:37:22.865778
COLPAL,COLPAL Ltd,11627377199936,Consumer Goods,Apparel,NSE,1.04,37.15,10.59,2025-09-08 04:37:22.865778
DABUR,DABUR Ltd,10129252437837,Transportation,Railways,NSE,2.54,30.42,35.83,2025-09-08 04:37:22.865778
DMART,DMART Ltd,1947623887215,Agriculture,Food Processing,NSE,3.33,17.0,33.89,2025-09-08 04:37:22.865778
GAIL,GAIL Ltd,1770410324674,Agriculture,Seeds,NSE,3.16,41.51,32.88,2025-09-08 04:37:22.865778
GODREJCP,GODREJCP Ltd,18015444209798,Energy,Petrochemicals,NSE,3.81,18.33,25.08,2025-09-08 04:37:22.865778
HEROMOTOCO,HEROMOTOCO Ltd,18298127862116,Utilities,Gas Distribution,NSE,2.13,9.8,8.69,2025-09-08 04:37:22.865778
HINDALCO,HINDALCO Ltd,1445251289973,Telecommunications,Cable TV,NSE,3.85,12.82,9.83,2025-09-08 04:37:22.865778
HINDPETRO,HINDPETRO Ltd,16299747758155,Media,Broadcasting,NSE,3.42,41.55,32.97,2025-09-08 04:37:22.865778
ICICIGI,ICICIGI Ltd,13846978778157,Consumer Goods,Personal Care,NSE,1.17,36.14,13.13,2025-09-08 04:37:22.865778
ICICIPRULI,ICICIPRULI Ltd,9691806009013,Materials,Mining,NSE,1.24,12.41,30.5,2025-09-08 04:37:22.865778
IGL,IGL Ltd,12498108782094,Healthcare,Medical Devices,NSE,0.95,25.34,22.88,2025-09-08 04:37:22.865778
INDIGO,INDIGO Ltd,7339956537043,Agriculture,Fertilizers,NSE,0.78,44.22,15.41,2025-09-08 04:37:22.865778
JINDALSTEL,JINDALSTEL Ltd,10780739051172,Energy,Coal,NSE,2.14,16.42,11.21,2025-09-08 04:37:22.865778
JUBLFOOD,JUBLFOOD Ltd,11068571037062,Consumer Discretionary,Jewelry,NSE,0.92,34.03,28.27,2025-09-08 04:37:22.865778
LALPATHLAB,LALPATHLAB Ltd,15763825068740,Utilities,Power Generation,NSE,3.53,38.87,19.14,2025-09-08 04:37:22.865778
LICHSGFIN,LICHSGFIN Ltd,19593632221956,Agriculture,Seeds,NSE,1.92,19.05,38.11,2025-09-08 04:37:22.865778
LUPIN,LUPIN Ltd,13967399623729,Utilities,Power Distribution,NSE,1.6,13.79,8.58,2025-09-08 04:37:22.865778
MFSL,MFSL Ltd,7532502209506,Industrials,Engineering,NSE,3.25,12.6,9.72,2025-09-08 04:37:22.865778
MINDTREE,MINDTREE Ltd,19715412052952,Consumer Goods,Personal Care,NSE,1.84,28.36,35.56,2025-09-08 04:37:22.865778
MOTHERSON,MOTHERSON Ltd,10763976787740,Technology,Hardware,NSE,3.58,30.01,38.84,2025-09-08 04:37:22.865778
MPHASIS,MPHASIS Ltd,15915186189678,Utilities,Water,NSE,2.6,27.47,36.12,2025-09-08 04:37:22.865778
MRF,MRF Ltd,18356019877413,Real Estate,Real Estate Investment,NSE,1.58,30.4,36.27,2025-09-08 04:37:22.865778
MUTHOOTFIN,MUTHOOTFIN Ltd,12707843100459,Consumer Discretionary,Retail,NSE,3.76,38.08,14.39,2025-09-08 04:37:22.865778
NAUKRI,NAUKRI Ltd,15019445162054,Telecommunications,Telecom Services,NSE,2.72,26.16,29.84,2025-09-08 04:37:22.865778
NMDC,NMDC Ltd,8397954756399,Energy,Petrochemicals,NSE,2.35,13.11,8.25,2025-09-08 04:37:22.865778
PAGEIND,PAGEIND Ltd,2295812364023,Agriculture,Fertilizers,NSE,1.81,9.37,8.03,2025-09-08 04:37:22.865778
PETRONET,PETRONET Ltd,1626337204434,Agriculture,Pesticides,NSE,3.45,13.47,34.92,2025-09-08 04:37:22.865778
PNB,PNB Ltd,17859139188903,Technology,Hardware,NSE,1.36,42.52,22.16,2025-09-08 04:37:22.865778
PVR,PVR Ltd,17138950542037,Consumer Discretionary,Retail,NSE,3.18,23.81,37.02,2025-09-08 04:37:22.865778
RBLBANK,RBLBANK Ltd,2084554326127,Materials,Paints,NSE,1.93,33.25,7.89,2025-09-08 04:37:22.865778
SAIL,SAIL Ltd,6419473956912,Consumer Discretionary,Automobiles,NSE,3.4,20.92,9.3,2025-09-08 04:37:22.865778
SBILIFE,SBILIFE Ltd,12210562231911,Consumer Goods,Personal Care,NSE,3.94,38.64,38.26,2025-09-08 04:37:22.865778
SIEMENS,SIEMENS Ltd,12592538350372,Technology,IT Services,NSE,1.72,30.78,17.99,2025-09-08 04:37:22.865778
SRF,SRF Ltd,4748372958174,Financial Services,NBFC,NSE,3.89,11.88,8.93,2025-09-08 04:37:22.865778
TATACHEM,TATACHEM Ltd,16767189376005,Industrials,Construction,NSE,1.29,27.97,19.09,2025-09-08 04:37:22.865778
TATAPOWER,TATAPOWER Ltd,1357415696656,Technology,Semiconductors,NSE,0.63,23.49,9.03,2025-09-08 04:37:22.865778
TORNTPHARM,TORNTPHARM Ltd,10455344376415,Financial Services,Broking,NSE,1.94,39.57,27.6,2025-09-08 04:37:22.865778
TVSMOTORS,TVSMOTORS Ltd,8070461503790,Telecommunications,Telecom Services,NSE,0.94,22.18,35.28,2025-09-08 04:37:22.865778
UPL,UPL Ltd,1975509966145,Healthcare,Medical Devices,NSE,1.41,44.48,35.85,2025-09-08 04:37:22.865778
VEDL,VEDL Ltd,11295677874348,Telecommunications,Cable TV,NSE,1.69,15.61,6.17,2025-09-08 04:37:22.865778
YESBANK,YESBANK Ltd,17577510204536,Consumer Goods,FMCG,NSE,3.96,10.97,29.65,2025-09-08 04:37:22.865778
STOCK0096,STOCK0096 Company Ltd,388297342930,Telecommunications,Internet Services,BSE,4.89,35.73,21.38,2025-09-08 04:37:22.865778
STOCK0097,STOCK0097 Company Ltd,187421063221,Consumer Discretionary,Automobiles,NSE,0.11,10.29,20.07,2025-09-08 04:37:22.865778
STOCK0098,STOCK0098 Company Ltd,220318528486,Real Estate,Real Estate Investment,NSE,0.62,34.4,18.82,2025-09-08 04:37:22.865778
STOCK0099,STOCK0099 Company Ltd,382205360287,Healthcare,Diagnostics,NSE,2.36,10.79,8.45,2025-09-08 04:37:22.865778
STOCK0100,STOCK0100 Company Ltd,315183695403,Agriculture,Seeds,NSE,0.26,23.74,17.56,2025-09-08 04:37:22.865778
STOCK0101,STOCK0101 Company Ltd,261155976955,Healthcare,Hospitals,NSE,4.82,36.76,13.08,2025-09-08 04:37:22.865778
STOCK0102,STOCK0102 Company Ltd,100942160121,Telecommunications,Cable TV,NSE,5.62,42.33,33.36,2025-09-08 04:37:22.865778
STOCK0103,STOCK0103 Company Ltd,44771410334,Healthcare,Diagnostics,NSE,0.27,24.8,3.67,2025-09-08 04:37:22.865778
STOCK0104,STOCK0104 Company Ltd,29980169935,Telecommunications,Internet Services,BSE,1.55,38.41,40.99,2025-09-08 04:37:22.865778
STOCK0105,STOCK0105 Company Ltd,85311843067,Healthcare,Medical Devices,NSE,3.7,36.45,6.94,2025-09-08 04:37:22.865778
STOCK0106,STOCK0106 Company Ltd,414068337870,Consumer Discretionary,Jewelry,NSE,1.83,30.08,10.7,2025-09-08 04:37:22.865778
STOCK0107,STOCK0107 Company Ltd,230435976850,Telecommunications,Telecom Services,BSE,1.91,9.3,20.36,2025-09-08 04:37:22.865778
STOCK0108,STOCK0108 Company Ltd,453723731442,Healthcare,Medical Devices,NSE,5.11,49.67,33.21,2025-09-08 04:37:22.865778
STOCK0109,STOCK0109 Company Ltd,140268346842,Utilities,Power Distribution,BSE,1.33,20.6,12.82,2025-09-08 04:37:22.865778
STOCK0110,STOCK0110 Company Ltd,295551587293,Transportation,Shipping,BSE,0.05,5.99,23.43,2025-09-08 04:37:22.865778
STOCK0111,STOCK0111 Company Ltd,14555866228,Healthcare,Biotechnology,BSE,2.98,38.28,25.86,2025-09-08 04:37:22.865778
STOCK0112,STOCK0112 Company Ltd,473833239125,Real Estate,Real Estate Investment,NSE,1.9,10.12,32.18,2025-09-08 04:37:22.865778
STOCK0113,STOCK0113 Company Ltd,378120050878,Real Estate,Real Estate Investment,BSE,2.02,49.2,18.75,2025-09-08 04:37:22.865778
STOCK0114,STOCK0114 Company Ltd,37469105056,Telecommunications,Cable TV,NSE,1.28,31.61,21.64,2025-09-08 04:37:22.865778
STOCK0115,STOCK0115 Company Ltd,475951364281,Utilities,Water,NSE,4.71,47.51,36.7,2025-09-08 04:37:22.865778
STOCK0116,STOCK0116 Company Ltd,417672555746,Telecommunications,Telecom Services,NSE,0.71,12.1,14.78,2025-09-08 04:37:22.865778
STOCK0117,STOCK0117 Company Ltd,287110260645,Consumer Goods,Footwear,NSE,1.17,12.81,26.63,2025-09-08 04:37:22.865778
STOCK0118,STOCK0118 Company Ltd,230139820116,Agriculture,Fertilizers,NSE,3.23,21.43,39.32,2025-09-08 04:37:22.865778
STOCK0119,STOCK0119 Company Ltd,409320868863,Agriculture,Pesticides,BSE,3.02,45.31,37.81,2025-09-08 04:37:22.865778
STOCK0120,STOCK0120 Company Ltd,385981088502,Financial Services,NBFC,BSE,0.18,9.5,4.31,2025-09-08 04:37:22.865778
STOCK0121,STOCK0121 Company Ltd,35027898094,Media,Publishing,NSE,5.77,27.38,29.87,2025-09-08 04:37:22.865778
STOCK0122,STOCK0122 Company Ltd,58002822802,Agriculture,Food Processing,NSE,5.22,5.11,36.07,2025-09-08 04:37:22.865778
STOCK0123,STOCK0123 Company Ltd,88223869285,Energy,Petrochemicals,NSE,2.99,41.46,42.76,2025-09-08 04:37:22.865778
STOCK0124,STOCK0124 Company Ltd,59262315907,Transportation,Logistics,BSE,4.48,15.47,11.79,2025-09-08 04:37:22.865778
STOCK0125,STOCK0125 Company Ltd,204446046273,Industrials,Automotive,NSE,4.9,46.35,44.58,2025-09-08 04:37:22.865778
STOCK0126,STOCK0126 Company Ltd,39016947961,Media,Broadcasting,NSE,4.69,34.68,25.84,2025-09-08 04:37:22.865778
STOCK0127,STOCK0127 Company Ltd,126292258563,Industrials,Automotive,NSE,2.93,49.45,30.93,2025-09-08 04:37:22.865778
STOCK0128,STOCK0128 Company Ltd,240476446126,Media,Publishing,BSE,0.65,16.08,8.97,2025-09-08 04:37:22.865778
STOCK0129,STOCK0129 Company Ltd,369802275528,Materials,Cement,BSE,4.22,49.83,21.18,2025-09-08 04:37:22.865778
STOCK0130,STOCK0130 Company Ltd,12940864904,Transportation,Aviation,BSE,1.2,20.07,16.38,2025-09-08 04:37:22.865778
STOCK0131,STOCK0131 Company Ltd,15156906737,Industrials,Construction,NSE,3.25,49.54,43.2,2025-09-08 04:37:22.865778
STOCK0132,STOCK0132 Company Ltd,429537638147,Industrials,Engineering,NSE,4.25,16.32,3.24,2025-09-08 04:37:22.865778
STOCK0133,STOCK0133 Company Ltd,406809578337,Consumer Discretionary,Entertainment,BSE,0.57,16.21,28.04,2025-09-08 04:37:22.865778
STOCK0134,STOCK0134 Company Ltd,221369101925,Energy,Petrochemicals,BSE,0.31,7.1,42.39,2025-09-08 04:37:22.865778
STOCK0135,STOCK0135 Company Ltd,139525862445,Agriculture,Pesticides,NSE,2.68,7.54,5.66,2025-09-08 04:37:22.865778
STOCK0136,STOCK0136 Company Ltd,170378647630,Real Estate,Real Estate Development,NSE,2.56,43.88,10.26,2025-09-08 04:37:22.865778
STOCK0137,STOCK0137 Company Ltd,405558465944,Industrials,Automotive,NSE,2.59,14.66,14.09,2025-09-08 04:37:22.865778
STOCK0138,STOCK0138 Company Ltd,344467249833,Agriculture,Pesticides,NSE,0.97,39.17,42.85,2025-09-08 04:37:22.865778
STOCK0139,STOCK0139 Company Ltd,49425252569,Industrials,Automotive,NSE,4.42,24.38,40.59,2025-09-08 04:37:22.865778
STOCK0140,STOCK0140 Company Ltd,394582546727,Materials,Mining,NSE,2.39,24.49,23.33,2025-09-08 04:37:22.865778
STOCK0141,STOCK0141 Company Ltd,346141704405,Industrials,Automotive,BSE,4.04,46.62,20.14,2025-09-08 04:37:22.865778
STOCK0142,STOCK0142 Company Ltd,149146179336,Utilities,Power Generation,NSE,4.5,22.07,15.16,2025-09-08 04:37:22.865778
STOCK0143,STOCK0143 Company Ltd,96231432009,Financial Services,Insurance,NSE,3.59,19.64,42.7,2025-09-08 04:37:22.865778
STOCK0144,STOCK0144 Company Ltd,431729580811,Financial Services,Broking,NSE,4.17,13.3,44.68,2025-09-08 04:37:22.865778
STOCK0145,STOCK0145 Company Ltd,71668414069,Agriculture,Fertilizers,NSE,2.57,27.6,24.91,2025-09-08 04:37:22.865778
STOCK0146,STOCK0146 Company Ltd,19637922947,Real Estate,Real Estate Investment,NSE,0.72,37.16,27.45,2025-09-08 04:37:22.865778
STOCK0147,STOCK0147 Company Ltd,484873966002,Media,Digital Media,BSE,0.05,11.92,11.75,2025-09-08 04:37:22.865778
STOCK0148,STOCK0148 Company Ltd,318737751130,Telecommunications,Cable TV,NSE,0.17,22.2,16.08,2025-09-08 04:37:22.865778
STOCK0149,STOCK0149 Company Ltd,107644644496,Financial Services,Banking,NSE,5.73,35.54,34.4,2025-09-08 04:37:22.865778
STOCK0150,STOCK0150 Company Ltd,186081679428,Consumer Discretionary,Jewelry,BSE,5.25,28.42,36.52,2025-09-08 04:37:22.865778
STOCK0151,STOCK0151 Company Ltd,469563901475,Agriculture,Pesticides,BSE,0.92,35.81,34.35,2025-09-08 04:37:22.865778
STOCK0152,STOCK0152 Company Ltd,289261941953,Media,Broadcasting,NSE,4.52,33.4,12.0,2025-09-08 04:37:22.865778
STOCK0153,STOCK0153 Company Ltd,43561754480,Telecommunications,Cable TV,BSE,5.54,11.09,32.61,2025-09-08 04:37:22.865778
STOCK0154,STOCK0154 Company Ltd,472254487567,Telecommunications,Internet Services,NSE,4.7,15.81,40.12,2025-09-08 04:37:22.865778
STOCK0155,STOCK0155 Company Ltd,184747454480,Energy,Petrochemicals,NSE,1.96,47.06,30.42,2025-09-08 04:37:22.865778
STOCK0156,STOCK0156 Company Ltd,347904892474,Telecommunications,Telecom Services,BSE,3.81,39.86,17.05,2025-09-08 04:37:22.865778
STOCK0157,STOCK0157 Company Ltd,28090282263,Media,Digital Media,BSE,1.19,19.5,23.06,2025-09-08 04:37:22.865778
STOCK0158,STOCK0158 Company Ltd,329858403217,Telecommunications,Internet Services,NSE,3.44,48.51,12.37,2025-09-08 04:37:22.865778
STOCK0159,STOCK0159 Company Ltd,67106183863,Industrials,Aerospace,BSE,2.8,45.09,40.46,2025-09-08 04:37:22.865778
STOCK0160,STOCK0160 Company Ltd,214205005924,Technology,IT Services,BSE,4.02,37.89,23.19,2025-09-08 04:37:22.865778
STOCK0161,STOCK0161 Company Ltd,263727721172,Real Estate,Construction Materials,BSE,3.98,47.17,32.48,2025-09-08 04:37:22.865778
STOCK0162,STOCK0162 Company Ltd,434085517872,Real Estate,Real Estate Development,BSE,0.34,19.06,20.42,2025-09-08 04:37:22.865778
STOCK0163,STOCK0163 Company Ltd,88269723140,Healthcare,Medical Devices,NSE,3.35,22.69,12.95,2025-09-08 04:37:22.865778
STOCK0164,STOCK0164 Company Ltd,327715476274,Telecommunications,Internet Services,BSE,0.18,27.38,10.92,2025-09-08 04:37:22.865778
STOCK0165,STOCK0165 Company Ltd,412987374113,Consumer Discretionary,Real Estate,NSE,5.23,17.29,34.7,2025-09-08 04:37:22.865778
STOCK0166,STOCK0166 Company Ltd,36257695027,Consumer Discretionary,Retail,NSE,3.96,27.46,35.43,2025-09-08 04:37:22.865778
STOCK0167,STOCK0167 Company Ltd,88531580778,Media,Advertising,NSE,3.94,43.04,8.63,2025-09-08 04:37:22.865778
STOCK0168,STOCK0168 Company Ltd,379615322093,Consumer Discretionary,Retail,NSE,2.49,33.1,43.79,2025-09-08 04:37:22.865778
STOCK0169,STOCK0169 Company Ltd,66200613508,Healthcare,Biotechnology,BSE,4.84,25.24,17.46,2025-09-08 04:37:22.865778
STOCK0170,STOCK0170 Company Ltd,131614312451,Financial Services,Banking,BSE,4.86,20.53,40.52,2025-09-08 04:37:22.865778
STOCK0171,STOCK0171 Company Ltd,151686104601,Utilities,Power Distribution,NSE,0.36,19.32,4.2,2025-09-08 04:37:22.865778
STOCK0172,STOCK0172 Company Ltd,257368537496,Real Estate,Construction Materials,NSE,4.5,28.78,10.75,2025-09-08 04:37:22.865778
STOCK0173,STOCK0173 Company Ltd,109397161764,Media,Digital Media,NSE,1.17,29.32,13.87,2025-09-08 04:37:22.865778
STOCK0174,STOCK0174 Company Ltd,311583313594,Consumer Discretionary,Automobiles,NSE,4.66,39.49,7.48,2025-09-08 04:37:22.865778
STOCK0175,STOCK0175 Company Ltd,246294097004,Utilities,Water,BSE,0.58,8.35,27.74,2025-09-08 04:37:22.865778
STOCK0176,STOCK0176 Company Ltd,461385330325,Industrials,Engineering,NSE,1.63,30.8,43.65,2025-09-08 04:37:22.865778
STOCK0177,STOCK0177 Company Ltd,209754032866,Agriculture,Seeds,BSE,1.41,19.91,36.89,2025-09-08 04:37:22.865778
STOCK0178,STOCK0178 Company Ltd,19083912115,Real Estate,Construction Materials,NSE,0.69,30.26,41.98,2025-09-08 04:37:22.865778
STOCK0179,STOCK0179 Company Ltd,22254239852,Agriculture,Fertilizers,NSE,3.55,8.88,38.41,2025-09-08 04:37:22.865778
STOCK0180,STOCK0180 Company Ltd,266457180265,Financial Services,Banking,BSE,5.51,23.32,25.0,2025-09-08 04:37:22.865778
STOCK0181,STOCK0181 Company Ltd,253426732513,Healthcare,Medical Devices,NSE,4.32,7.34,8.54,2025-09-08 04:37:22.865778
STOCK0182,STOCK0182 Company Ltd,112310190531,Consumer Goods,Textiles,NSE,2.11,28.13,31.88,2025-09-08 04:37:22.865778
STOCK0183,STOCK0183 Company Ltd,70647255250,Media,Digital Media,NSE,1.28,41.33,23.88,2025-09-08 04:37:22.865778
STOCK0184,STOCK0184 Company Ltd,448806120243,Consumer Discretionary,Entertainment,BSE,3.91,8.92,23.44,2025-09-08 04:37:22.865778
STOCK0185,STOCK0185 Company Ltd,188153419493,Materials,Mining,BSE,0.29,20.03,6.24,2025-09-08 04:37:22.865778
STOCK0186,STOCK0186 Company Ltd,271634804590,Industrials,Aerospace,NSE,5.94,49.54,19.52,2025-09-08 04:37:22.865778
STOCK0187,STOCK0187 Company Ltd,172713816649,Healthcare,Medical Devices,BSE,1.92,32.61,3.41,2025-09-08 04:37:22.865778
STOCK0188,STOCK0188 Company Ltd,424163352286,Financial Services,Banking,NSE,0.12,8.31,23.68,2025-09-08 04:37:22.865778
STOCK0189,STOCK0189 Company Ltd,20677326288,Financial Services,NBFC,BSE,0.54,17.09,19.51,2025-09-08 04:37:22.865778
STOCK0190,STOCK0190 Company Ltd,349002220442,Transportation,Aviation,NSE,5.76,10.26,37.36,2025-09-08 04:37:22.865778
STOCK0191,STOCK0191 Company Ltd,183465841224,Agriculture,Pesticides,BSE,3.99,11.46,17.02,2025-09-08 04:37:22.865778
STOCK0192,STOCK0192 Company Ltd,490832139083,Media,Broadcasting,BSE,1.92,16.48,41.13,2025-09-08 04:37:22.865778
STOCK0193,STOCK0193 Company Ltd,196605886894,Healthcare,Hospitals,NSE,1.44,29.66,41.84,2025-09-08 04:37:22.865778
STOCK0194,STOCK0194 Company Ltd,345498075536,Industrials,Aerospace,NSE,0.46,22.96,19.7,2025-09-08 04:37:22.865778
STOCK0195,STOCK0195 Company Ltd,46462422833,Materials,Paints,BSE,3.97,34.05,30.76,2025-09-08 04:37:22.865778
STOCK0196,STOCK0196 Company Ltd,337928699923,Energy,Oil & Gas,BSE,3.14,20.52,32.73,2025-09-08 04:37:22.865778
STOCK0197,STOCK0197 Company Ltd,220010414208,Energy,Petrochemicals,BSE,5.71,49.97,35.35,2025-09-08 04:37:22.865778
STOCK0198,STOCK0198 Company Ltd,489930584085,Technology,Telecom Equipment,NSE,1.54,47.49,21.91,2025-09-08 04:37:22.865778
STOCK0199,STOCK0199 Company Ltd,52737967072,Consumer Goods,Apparel,NSE,5.62,31.95,16.22,2025-09-08 04:37:22.865778
STOCK0200,STOCK0200 Company Ltd,425553811452,Agriculture,Fertilizers,BSE,0.28,26.8,28.11,2025-09-08 04:37:22.865778
STOCK0201,STOCK0201 Company Ltd,274625888815,Consumer Goods,FMCG,BSE,3.66,15.34,29.42,2025-09-08 04:37:22.865778
STOCK0202,STOCK0202 Company Ltd,267428678980,Consumer Goods,Personal Care,BSE,4.27,37.22,37.71,2025-09-08 04:37:22.865778
